run_id,split,method,state_id,p,theta,c_true,c_hat,n_true,n_hat,abs_err_c,abs_err_n,rmse_c,rmse_n,ci90_low,ci90_high,ci95_low,ci95_high,covered90,covered95,shots_used,abstained,shift_score,backend,noise,policy
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0012,0.3684210526315789,0.07853981633974483,0.008233392896854274,0.022399306297302246,0.0006961247731469446,0.046695396304130554,0.014165913400447972,0.04599927153098361,0.08351288453028025,0.05102502311784708,-0.1289693626448517,0.1737679752394562,-0.16450897337487735,0.20930758596948185,1,1,2000,1,0.020404579999602598,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0012,0.3684210526315789,0.07853981633974483,0.008233392896854274,0.022399306297302246,0.0006961247731469446,0.046695396304130554,0.014165913400447972,0.04599927153098361,0.08351288453028025,0.05102502311784708,-0.1212249779836046,0.1660235905782091,-0.14924922857500106,0.19404784116960555,1,1,2000,1,0.020404579999602598,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0012,0.3684210526315789,0.07853981633974483,0.008233392896854274,0.022399306297302246,0.0006961247731469446,0.046695396304130554,0.014165913400447972,0.04599927153098361,0.08351288453028025,0.05102502311784708,-0.10782936221560188,0.15262797481020637,-0.13334994967464928,0.17814856226925377,1,1,2000,1,0.020404579999602598,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0013,0.15789473684210525,0.7461282552275759,0.0,0.07297667860984802,0.0,0.007678702473640442,0.07297667860984802,0.007678702473640442,0.08351288453028025,0.05102502311784708,-0.07839199033230593,0.22434534755200197,-0.11393160106233158,0.2598849582820276,1,1,2000,1,0.021256211879427285,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0013,0.15789473684210525,0.7461282552275759,0.0,0.07297667860984802,0.0,0.007678702473640442,0.07297667860984802,0.007678702473640442,0.08351288453028025,0.05102502311784708,-0.07064760567105882,0.21660096289075487,-0.09867185626245528,0.24462521348215133,1,1,2000,1,0.021256211879427285,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0013,0.15789473684210525,0.7461282552275759,0.0,0.07297667860984802,0.0,0.007678702473640442,0.07297667860984802,0.007678702473640442,0.08351288453028025,0.05102502311784708,-0.027309716177410792,0.17326307339710684,-0.04696259091187979,0.19291594813157584,1,1,2000,1,0.021256211879427285,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0014,0.42105263157894735,0.23561944901923448,0.05973559207099299,0.14629274606704712,0.015781112525055957,0.0830092579126358,0.08655715399605413,0.06722814538757985,0.08351288453028025,0.05102502311784708,-0.005075922875106831,0.29766141500920107,-0.04061553360513248,0.3332010257392267,1,1,2000,1,0.028227092614973116,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_naive,test_0014,0.42105263157894735,0.23561944901923448,0.05973559207099299,0.14629274606704712,0.015781112525055957,0.0830092579126358,0.08655715399605413,0.06722814538757985,0.08351288453028025,0.05102502311784708,0.002668461786140275,0.28991703034795396,-0.025355788805256185,0.3179412809393504,1,1,2000,1,0.028227092614973116,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_scaled_conformal,test_0014,0.42105263157894735,0.23561944901923448,0.05973559207099299,0.14629274606704712,0.015781112525055957,0.0830092579126358,0.08655715399605413,0.06722814538757985,0.08351288453028025,0.05102502311784708,0.013735471583505354,0.2788500205505889,-0.012241446981510695,0.30482693911560493,1,1,2000,1,0.028227092614973116,sim,ideal,fixed
run_7_sweep_sim_adaptive,test,fixed_nn_conformal,test_0015,0.5263157894736842,0.5497787143782138,0.25792294121242215,0.14493094384670258,0.1221388565380433,0.0690264105796814,0.11299199736571958,0.0531124459583619,0.08351288453028025,0.05102502311784708,-0.006437725095451374,0.2962996127888565,-0.041977335825477025,0.3318392235188822,1,1,2000,1,0.03010484747355543,sim,ideal,fixed
